# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
an-sap-s-2;1;2021-04-24 00:32:20 UTC;-1;0.02;0.00;0.25;0.54;0.00;0.00;0.02;0.00;0.00;99.17
an-sap-s-2;1;2021-04-24 00:32:21 UTC;-1;0.15;0.00;0.42;0.46;0.00;0.00;0.04;0.00;0.00;98.94
an-sap-s-2;1;2021-04-24 00:32:22 UTC;-1;0.02;0.00;0.27;2.65;0.00;0.00;0.02;0.00;0.00;97.04
an-sap-s-2;1;2021-04-24 00:32:23 UTC;-1;0.04;0.00;0.27;1.42;0.00;0.00;0.00;0.00;0.00;98.27
an-sap-s-2;1;2021-04-24 00:32:24 UTC;-1;0.04;0.00;0.25;1.79;0.00;0.00;0.02;0.00;0.00;97.89
an-sap-s-2;1;2021-04-24 00:32:25 UTC;-1;0.06;0.00;0.31;0.60;0.00;0.00;0.04;0.00;0.00;98.98
an-sap-s-2;1;2021-04-24 00:32:26 UTC;-1;0.06;0.00;0.25;0.83;0.00;0.00;0.02;0.00;0.00;98.83
an-sap-s-2;1;2021-04-24 00:32:27 UTC;-1;0.06;0.00;0.33;0.48;0.00;0.00;0.00;0.00;0.00;99.12
an-sap-s-2;1;2021-04-24 00:32:28 UTC;-1;0.06;0.00;0.25;0.92;0.00;0.00;0.02;0.00;0.00;98.75
an-sap-s-2;1;2021-04-24 00:32:29 UTC;-1;0.04;0.00;0.33;0.73;0.00;0.00;0.04;0.00;0.00;98.85
an-sap-s-2;1;2021-04-24 00:32:30 UTC;-1;0.04;0.00;0.29;1.27;0.00;0.00;0.02;0.00;0.00;98.37
an-sap-s-2;1;2021-04-24 00:32:31 UTC;-1;0.13;0.00;0.29;0.98;0.00;0.00;0.00;0.00;0.00;98.60
an-sap-s-2;1;2021-04-24 00:32:32 UTC;-1;0.00;0.00;0.23;0.88;0.00;0.00;0.02;0.00;0.00;98.87
an-sap-s-2;1;2021-04-24 00:32:33 UTC;-1;0.04;0.00;0.33;1.96;0.00;0.00;0.04;0.00;0.00;97.62
an-sap-s-2;1;2021-04-24 00:32:34 UTC;-1;0.04;0.00;0.35;0.56;0.00;0.00;0.02;0.00;0.00;99.02
an-sap-s-2;1;2021-04-24 00:32:35 UTC;-1;0.06;0.00;0.40;0.90;0.00;0.00;0.02;0.00;0.00;98.62
an-sap-s-2;1;2021-04-24 00:32:36 UTC;-1;0.06;0.00;0.42;0.44;0.00;0.00;0.02;0.00;0.00;99.06
an-sap-s-2;1;2021-04-24 00:32:37 UTC;-1;0.04;0.00;0.29;1.46;0.00;0.00;0.02;0.00;0.00;98.19
an-sap-s-2;1;2021-04-24 00:32:38 UTC;-1;0.04;0.00;0.33;0.75;0.00;0.00;0.04;0.00;0.00;98.83
an-sap-s-2;1;2021-04-24 00:32:39 UTC;-1;0.04;0.00;0.42;0.60;0.00;0.00;0.02;0.00;0.00;98.92
an-sap-s-2;1;2021-04-24 00:32:40 UTC;-1;0.04;0.00;0.31;0.86;0.00;0.00;0.02;0.00;0.00;98.77
an-sap-s-2;1;2021-04-24 00:32:41 UTC;-1;0.08;0.00;0.31;0.46;0.00;0.00;0.00;0.00;0.00;99.14
an-sap-s-2;1;2021-04-24 00:32:42 UTC;-1;0.13;0.00;0.31;0.81;0.00;0.00;0.02;0.00;0.00;98.73
an-sap-s-2;1;2021-04-24 00:32:43 UTC;-1;0.02;0.00;0.33;1.90;0.00;0.00;0.02;0.00;0.00;97.73
an-sap-s-2;1;2021-04-24 00:32:44 UTC;-1;0.04;0.00;0.31;0.58;0.00;0.00;0.02;0.00;0.00;99.04
# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
an-sap-s-2;1;2021-04-24 00:32:45 UTC;-1;0.06;0.00;0.31;1.21;0.00;0.00;0.02;0.00;0.00;98.39
an-sap-s-1;1;2021-04-23 22:00:16 UTC;-1;0.06;0.00;0.23;1.42;0.00;0.00;0.02;0.00;0.00;98.27
an-sap-s-1;1;2021-04-23 22:00:17 UTC;-1;0.02;0.00;0.23;1.96;0.00;0.00;0.02;0.00;0.00;97.77
an-sap-s-1;1;2021-04-23 22:00:18 UTC;-1;0.06;0.00;0.13;2.00;0.00;0.00;0.02;0.00;0.00;97.79
an-sap-s-1;1;2021-04-23 22:00:19 UTC;-1;0.06;0.00;0.19;1.63;0.00;0.00;0.00;0.00;0.00;98.12
an-sap-s-1;1;2021-04-23 22:00:20 UTC;-1;0.00;0.00;0.15;2.34;0.00;0.00;0.02;0.00;0.00;97.50
an-sap-s-1;1;2021-04-23 22:00:21 UTC;-1;0.02;0.00;0.19;1.92;0.00;0.00;0.02;0.00;0.00;97.85
an-sap-s-1;1;2021-04-23 22:00:22 UTC;-1;0.04;0.00;0.19;1.48;0.00;0.00;0.00;0.00;0.00;98.29
an-sap-s-1;1;2021-04-23 22:00:23 UTC;-1;0.04;0.00;0.21;1.29;0.00;0.00;0.02;0.00;0.00;98.44
an-sap-s-1;1;2021-04-23 22:00:24 UTC;-1;0.04;0.00;0.10;1.19;0.00;0.00;0.02;0.00;0.00;98.64
an-sap-s-1;1;2021-04-23 22:00:25 UTC;-1;0.04;0.00;0.15;0.60;0.00;0.00;0.02;0.00;0.00;99.19
an-sap-s-2;1;2021-04-24 00:32:46 UTC;-1;0.06;0.00;0.35;0.48;0.00;0.00;0.04;0.00;0.00;99.06
an-sap-s-2;1;2021-04-24 00:32:47 UTC;-1;0.02;0.00;0.31;0.69;0.00;0.00;0.00;0.00;0.00;98.98
an-sap-s-2;1;2021-04-24 00:32:48 UTC;-1;0.06;0.00;0.19;1.88;0.00;0.00;0.02;0.00;0.00;97.85
an-sap-s-2;1;2021-04-24 00:32:49 UTC;-1;0.04;0.00;0.29;0.98;0.00;0.00;0.02;0.00;0.00;98.66
an-sap-s-1;1;2021-04-23 22:00:26 UTC;-1;0.15;0.00;0.21;3.13;0.00;0.00;0.00;0.00;0.00;96.52
an-sap-s-2;1;2021-04-24 00:32:50 UTC;-1;0.08;0.00;0.29;0.98;0.00;0.00;0.02;0.00;0.00;98.62
an-sap-s-2;1;2021-04-24 00:32:51 UTC;-1;0.04;0.00;0.27;0.44;0.00;0.00;0.02;0.00;0.00;99.23
an-sap-s-2;1;2021-04-24 00:32:52 UTC;-1;0.08;0.00;0.27;1.92;0.00;0.00;0.04;0.00;0.00;97.68
an-sap-s-2;1;2021-04-24 00:32:53 UTC;-1;0.04;0.00;0.38;0.46;0.00;0.00;0.04;0.00;0.00;99.08
an-sap-s-2;1;2021-04-24 00:32:54 UTC;-1;0.04;0.00;0.17;1.25;0.00;0.00;0.00;0.00;0.00;98.54
an-sap-s-2;1;2021-04-24 00:32:55 UTC;-1;0.08;0.00;0.23;13.44;0.00;0.00;0.04;0.00;0.00;86.21
an-sap-s-2;1;2021-04-24 00:32:56 UTC;-1;0.06;0.00;0.23;18.15;0.00;0.00;0.02;0.00;0.00;81.54
an-sap-s-2;1;2021-04-24 00:32:57 UTC;-1;0.02;0.00;0.17;6.63;0.00;0.00;0.00;0.00;0.00;93.18
