# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
an-sap-s-1;1;2021-04-23 22:00:16 UTC;lo;98.00;98.00;12.56;12.56;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:20 UTC;eno2;2.00;0.00;0.68;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:16 UTC;eno2;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:20 UTC;eno3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:16 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:16 UTC;eno1;80.00;86.00;18.04;14.72;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:16 UTC;eno3;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:17 UTC;lo;3.00;3.00;0.31;0.31;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:17 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:17 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:17 UTC;eno1;58084.00;2966.00;85409.54;226.37;0.00;0.00;0.00;7.00
an-sap-s-1;1;2021-04-23 22:00:17 UTC;eno3;4.00;0.00;1.04;0.00;0.00;0.00;1.00;0.00
an-sap-s-1;1;2021-04-23 22:00:18 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:20 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:18 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:20 UTC;eno1;48.00;52.00;13.82;10.57;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:18 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:18 UTC;eno1;73682.00;3428.00;108483.34;243.80;0.00;0.00;0.00;8.89
an-sap-s-1;1;2021-04-23 22:00:18 UTC;eno3;2.00;0.00;0.68;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:19 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:20 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:21 UTC;eno2;2.00;0.00;0.68;0.00;0.00;0.00;0.00;0.00
