# hostname;interval;timestamp;irec/s;fwddgm/s;idel/s;orq/s;asmrq/s;asmok/s;fragok/s;fragcrt/s
an-sap-s-2;1;2021-04-24 00:32:20 UTC;1947.00;0.00;1947.00;1450.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:21 UTC;4619.00;0.00;4616.00;3406.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:22 UTC;2247.00;0.00;2246.00;1687.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:23 UTC;3100.00;0.00;3098.00;2298.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:24 UTC;4025.00;0.00;4024.00;2963.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:25 UTC;4701.00;0.00;4699.00;3488.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:26 UTC;4037.00;0.00;4034.00;2962.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:27 UTC;4463.00;0.00;4462.00;3298.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:28 UTC;3819.00;0.00;3816.00;2792.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:29 UTC;3846.00;0.00;3845.00;2854.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:30 UTC;3663.00;0.00;3660.00;2726.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:31 UTC;2006.00;0.00;2006.00;1554.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:32 UTC;2167.00;0.00;2164.00;1614.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:33 UTC;4076.00;0.00;4074.00;2992.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:34 UTC;4578.00;0.00;4576.00;3379.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:35 UTC;4372.00;0.00;4371.00;3225.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:36 UTC;4361.00;0.00;4359.00;3212.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:37 UTC;3311.00;0.00;3310.00;2422.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:38 UTC;4573.00;0.00;4572.00;3502.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:39 UTC;4474.00;0.00;4469.00;3574.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:40 UTC;4011.00;0.00;4009.00;3364.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:41 UTC;4319.00;0.00;4318.00;3419.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:42 UTC;3485.00;0.00;3482.00;2713.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:43 UTC;3233.00;0.00;3230.00;2570.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:44 UTC;4238.00;0.00;4236.00;3199.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:45 UTC;4007.00;0.00;4006.00;3429.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:46 UTC;4328.00;0.00;4326.00;3691.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:47 UTC;3779.00;0.00;3776.00;3266.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:48 UTC;2653.00;0.00;2652.00;2223.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:49 UTC;4319.00;0.00;4318.00;3379.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:50 UTC;4314.00;0.00;4312.00;3166.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:51 UTC;4267.00;0.00;4266.00;3349.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:52 UTC;2914.00;0.00;2914.00;2395.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:53 UTC;4422.00;0.00;4420.00;3669.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:54 UTC;2634.00;0.00;2631.00;1918.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:55 UTC;2161.00;0.00;2161.00;2072.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:56 UTC;1728.00;0.00;1725.00;1292.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:57 UTC;1542.00;0.00;1537.00;1026.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:58 UTC;1321.00;0.00;1320.00;863.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:59 UTC;1612.00;0.00;1611.00;1145.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:00 UTC;1329.00;0.00;1326.00;1159.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:01 UTC;1750.00;0.00;1745.00;1371.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:02 UTC;1419.00;0.00;1418.00;1136.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:03 UTC;1417.00;0.00;1413.00;1130.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:04 UTC;1514.00;0.00;1509.00;982.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:05 UTC;1295.00;0.00;1291.00;1115.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:06 UTC;1516.00;0.00;1512.00;1199.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:07 UTC;1601.00;0.00;1599.00;1191.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:08 UTC;1470.00;0.00;1468.00;1161.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:09 UTC;1353.00;0.00;1351.00;970.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:10 UTC;1114.00;0.00;1110.00;783.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:11 UTC;1596.00;0.00;1593.00;1190.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:12 UTC;1475.00;0.00;1473.00;1093.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:13 UTC;1582.00;0.00;1580.00;1243.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:14 UTC;1426.00;0.00;1424.00;952.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:15 UTC;1381.00;0.00;1381.00;1112.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:16 UTC;1343.00;0.00;1342.00;1037.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:17 UTC;1370.00;0.00;1368.00;1070.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:18 UTC;1634.00;0.00;1629.00;1216.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:19 UTC;1639.00;0.00;1637.00;1241.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:20 UTC;1573.00;0.00;1572.00;1159.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:21 UTC;1647.00;0.00;1646.00;1223.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:22 UTC;1604.95;0.00;1601.98;1198.02;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:23 UTC;1370.00;0.00;1369.00;1041.00;0.00;0.00;0.00;0.00
an-sap-s-2;2;2021-04-24 00:33:25 UTC;1489.15;0.00;1488.21;1107.55;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:26 UTC;1266.00;0.00;1264.00;1023.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:27 UTC;1426.00;0.00;1421.00;1064.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:28 UTC;1543.00;0.00;1543.00;1165.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:29 UTC;1595.00;0.00;1594.00;1212.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:30 UTC;1348.00;0.00;1346.00;987.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:31 UTC;1511.00;0.00;1510.00;1065.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:32 UTC;1382.00;0.00;1382.00;1026.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:33 UTC;1560.00;0.00;1558.00;1220.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:34 UTC;1580.00;0.00;1577.00;1114.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:35 UTC;1510.00;0.00;1509.00;1078.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:36 UTC;1543.00;0.00;1542.00;1128.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:37 UTC;1264.00;0.00;1263.00;1021.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:38 UTC;1352.00;0.00;1352.00;1065.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:39 UTC;1612.00;0.00;1611.00;1205.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:40 UTC;1592.00;0.00;1592.00;1104.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:41 UTC;1172.00;0.00;1170.00;853.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:42 UTC;1272.00;0.00;1271.00;880.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:43 UTC;1650.00;0.00;1647.00;1270.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:44 UTC;1619.00;0.00;1618.00;1122.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:45 UTC;1591.00;0.00;1588.00;1135.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:46 UTC;1312.00;0.00;1309.00;865.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:47 UTC;1496.00;0.00;1495.00;958.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:48 UTC;1302.00;0.00;1301.00;1029.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:49 UTC;1634.00;0.00;1633.00;1141.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:50 UTC;1653.00;0.00;1652.00;1149.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:51 UTC;1629.00;0.00;1628.00;1100.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:52 UTC;1545.00;0.00;1543.00;1080.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:53 UTC;1627.00;0.00;1623.00;1104.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:54 UTC;1782.00;0.00;1779.00;1159.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:55 UTC;1671.00;0.00;1668.00;1119.00;0.00;0.00;0.00;0.00
