# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
an-sap-s-2;1;2021-04-24 18:43:30 UTC;506.00;10.00;496.00;16.00;90304.00
an-sap-s-2;1;2021-04-24 18:43:31 UTC;295.00;0.00;295.00;0.00;151040.00
an-sap-s-2;1;2021-04-24 18:43:32 UTC;351.00;0.00;351.00;0.00;179712.00
an-sap-s-2;1;2021-04-24 18:43:33 UTC;370.00;0.00;370.00;0.00;189440.00
an-sap-s-2;1;2021-04-24 18:43:34 UTC;230.00;0.00;230.00;0.00;116944.00
an-sap-s-2;1;2021-04-24 18:43:35 UTC;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:36 UTC;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:37 UTC;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:38 UTC;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:39 UTC;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:40 UTC;145.00;0.00;145.00;0.00;4296.00
an-sap-s-2;1;2021-04-24 18:43:41 UTC;17.00;0.00;17.00;0.00;168.00
an-sap-s-2;1;2021-04-24 18:43:42 UTC;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:43 UTC;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:44 UTC;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:45 UTC;2.00;0.00;2.00;0.00;88.00
an-sap-s-2;1;2021-04-24 18:43:46 UTC;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:47 UTC;1.00;0.00;1.00;0.00;33.00
an-sap-s-2;1;2021-04-24 18:43:48 UTC;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:49 UTC;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:50 UTC;2.00;0.00;2.00;0.00;48.00
an-sap-s-2;1;2021-04-24 18:43:51 UTC;139.00;0.00;139.00;0.00;4128.00
an-sap-s-2;1;2021-04-24 18:43:52 UTC;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;71;2021-04-24 18:45:03 UTC;7.69;0.00;7.69;0.00;86.84
