# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
an-sap-s-2;1;2021-04-24 18:43:30 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:30 UTC;eno3;2.00;0.00;0.40;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 18:43:30 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:30 UTC;eno1;48.00;52.00;13.82;10.57;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:30 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:31 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:31 UTC;eno3;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:31 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:31 UTC;eno1;13598.00;695.00;19882.97;55.53;0.00;0.00;0.00;1.63
an-sap-s-2;1;2021-04-24 18:43:31 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:32 UTC;eno2;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:32 UTC;eno3;2.00;0.00;0.40;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 18:43:32 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:32 UTC;eno1;41616.00;1972.00;61225.54;140.15;0.00;0.00;0.00;5.02
an-sap-s-2;1;2021-04-24 18:43:32 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:33 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:33 UTC;eno3;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:33 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:33 UTC;eno1;68224.00;3237.00;100428.57;230.14;0.00;0.00;0.00;8.23
an-sap-s-2;1;2021-04-24 18:43:33 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:34 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:34 UTC;eno3;3.00;0.00;0.74;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 18:43:34 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:34 UTC;eno1;68618.00;3254.00;100967.70;231.29;0.00;0.00;0.00;8.27
an-sap-s-2;1;2021-04-24 18:43:34 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:35 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:35 UTC;eno3;4.00;0.00;1.35;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:35 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:35 UTC;eno1;66083.00;3205.00;97209.63;227.71;0.00;0.00;0.00;7.96
an-sap-s-2;1;2021-04-24 18:43:35 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:36 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:36 UTC;eno3;3.00;0.00;0.46;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 18:43:36 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:36 UTC;eno1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:36 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:37 UTC;eno2;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:37 UTC;eno3;2.00;0.00;0.40;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:37 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:37 UTC;eno1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:37 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:38 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:38 UTC;eno3;2.00;0.00;0.12;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 18:43:38 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:38 UTC;eno1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:38 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:39 UTC;eno2;2.00;0.00;0.68;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:39 UTC;eno3;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:39 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:39 UTC;eno1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:39 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:40 UTC;eno2;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:40 UTC;eno3;2.00;0.00;0.40;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 18:43:40 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:40 UTC;eno1;2.00;1.00;0.17;0.10;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:40 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:41 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:41 UTC;eno3;3.00;0.00;1.01;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:41 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:41 UTC;eno1;6.00;3.00;0.52;0.31;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:41 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:42 UTC;eno2;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:42 UTC;eno3;2.00;0.00;0.40;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 18:43:42 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:42 UTC;eno1;12.00;6.00;1.03;0.65;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:42 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:43 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:43 UTC;eno3;2.00;0.00;0.64;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:43 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:43 UTC;eno1;8.00;4.00;0.69;0.41;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:43 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:44 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:44 UTC;eno3;1.00;0.00;0.06;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 18:43:44 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:44 UTC;eno1;6.00;3.00;0.52;0.31;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:44 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:45 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:45 UTC;eno3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:45 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:45 UTC;eno1;2.00;1.00;0.17;0.11;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:45 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:46 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:46 UTC;eno3;1.00;0.00;0.06;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 18:43:46 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:46 UTC;eno1;8.00;4.00;0.69;0.41;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:46 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:47 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:47 UTC;eno3;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:47 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:47 UTC;eno1;6.00;3.00;0.52;0.31;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:47 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:48 UTC;eno2;2.00;0.00;0.68;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:48 UTC;eno3;4.00;0.00;1.08;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 18:43:48 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:48 UTC;eno1;9.00;9.00;0.93;0.98;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:48 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:43:49 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
