# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
an-sap-s-1;1;2021-04-24 18:43:30 UTC;-1;0.06;0.00;0.19;1.08;0.00;0.00;0.00;0.00;0.00;98.67
an-sap-s-1;1;2021-04-24 18:43:31 UTC;-1;0.06;0.00;0.15;2.77;0.00;0.00;0.00;0.00;0.00;97.02
an-sap-s-1;1;2021-04-24 18:43:32 UTC;-1;0.02;0.00;0.15;3.92;0.00;0.00;0.02;0.00;0.00;95.89
an-sap-s-1;1;2021-04-24 18:43:33 UTC;-1;0.10;0.00;0.19;2.44;0.00;0.00;0.02;0.00;0.00;97.25
an-sap-s-1;1;2021-04-24 18:43:34 UTC;-1;0.02;0.00;0.10;0.83;0.00;0.00;0.00;0.00;0.00;99.04
an-sap-s-1;1;2021-04-24 18:43:35 UTC;-1;0.02;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;99.94
an-sap-s-1;1;2021-04-24 18:43:36 UTC;-1;0.02;0.00;0.08;0.00;0.00;0.00;0.00;0.00;0.00;99.90
an-sap-s-1;1;2021-04-24 18:43:37 UTC;-1;0.02;0.00;0.06;0.04;0.00;0.00;0.00;0.00;0.00;99.88
an-sap-s-1;1;2021-04-24 18:43:38 UTC;-1;0.10;0.00;0.19;0.00;0.00;0.00;0.00;0.00;0.00;99.71
an-sap-s-1;1;2021-04-24 18:43:39 UTC;-1;0.02;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.00;99.92
an-sap-s-1;1;2021-04-24 18:43:40 UTC;-1;0.02;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;99.88
an-sap-s-1;1;2021-04-24 18:43:41 UTC;-1;0.02;0.00;0.12;0.46;0.00;0.00;0.00;0.00;0.00;99.40
an-sap-s-1;1;2021-04-24 18:43:42 UTC;-1;0.02;0.00;0.08;0.00;0.00;0.00;0.00;0.00;0.00;99.90
an-sap-s-1;1;2021-04-24 18:43:43 UTC;-1;0.02;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.00;99.92
an-sap-s-1;1;2021-04-24 18:43:44 UTC;-1;0.04;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;99.92
an-sap-s-1;1;2021-04-24 18:43:45 UTC;-1;0.04;0.00;0.08;0.00;0.00;0.00;0.00;0.00;0.00;99.88
an-sap-s-1;1;2021-04-24 18:43:46 UTC;-1;0.00;0.00;0.06;0.02;0.00;0.00;0.02;0.00;0.00;99.90
an-sap-s-1;1;2021-04-24 18:43:47 UTC;-1;0.04;0.00;0.06;0.19;0.00;0.00;0.00;0.00;0.00;99.71
an-sap-s-1;1;2021-04-24 18:43:48 UTC;-1;0.12;0.00;0.19;0.00;0.00;0.00;0.02;0.00;0.00;99.67
