# hostname;interval;timestamp;irec/s;fwddgm/s;idel/s;orq/s;asmrq/s;asmok/s;fragok/s;fragcrt/s
# hostname;interval;timestamp;irec/s;fwddgm/s;idel/s;orq/s;asmrq/s;asmok/s;fragok/s;fragcrt/s
an-sap-s-1;1;2021-04-23 22:00:16 UTC;3942.00;0.00;3940.00;3239.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:20 UTC;1947.00;0.00;1947.00;1450.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:21 UTC;4619.00;0.00;4616.00;3406.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:22 UTC;2247.00;0.00;2246.00;1687.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:23 UTC;3100.00;0.00;3098.00;2298.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:24 UTC;4025.00;0.00;4024.00;2963.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:25 UTC;4701.00;0.00;4699.00;3488.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:26 UTC;4037.00;0.00;4034.00;2962.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:27 UTC;4463.00;0.00;4462.00;3298.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:28 UTC;3819.00;0.00;3816.00;2792.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:29 UTC;3846.00;0.00;3845.00;2854.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:30 UTC;3663.00;0.00;3660.00;2726.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:17 UTC;4360.00;0.00;4360.00;3362.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:18 UTC;3922.00;0.00;3919.00;3005.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:19 UTC;4219.00;0.00;4218.00;3271.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:20 UTC;3754.00;0.00;3751.00;2924.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:31 UTC;2006.00;0.00;2006.00;1554.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:21 UTC;3913.00;0.00;3909.00;3017.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:32 UTC;2167.00;0.00;2164.00;1614.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:22 UTC;4256.00;0.00;4253.00;3350.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:23 UTC;4238.00;0.00;4237.00;3340.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:24 UTC;3508.00;0.00;3507.00;2764.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:25 UTC;3792.00;0.00;3792.00;2899.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:26 UTC;2948.00;0.00;2947.00;2312.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:33 UTC;4076.00;0.00;4074.00;2992.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:34 UTC;4578.00;0.00;4576.00;3379.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:35 UTC;4372.00;0.00;4371.00;3225.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:36 UTC;4361.00;0.00;4359.00;3212.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:37 UTC;3311.00;0.00;3310.00;2422.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:38 UTC;4573.00;0.00;4572.00;3502.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:39 UTC;4474.00;0.00;4469.00;3574.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:40 UTC;4011.00;0.00;4009.00;3364.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:41 UTC;4319.00;0.00;4318.00;3419.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:27 UTC;1547.00;0.00;1545.00;1269.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:42 UTC;3485.00;0.00;3482.00;2713.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:43 UTC;3233.00;0.00;3230.00;2570.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:44 UTC;4238.00;0.00;4236.00;3199.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:45 UTC;4007.00;0.00;4006.00;3429.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:46 UTC;4328.00;0.00;4326.00;3691.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:47 UTC;3779.00;0.00;3776.00;3266.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:48 UTC;2653.00;0.00;2652.00;2223.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:49 UTC;4319.00;0.00;4318.00;3379.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:50 UTC;4314.00;0.00;4312.00;3166.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:51 UTC;4267.00;0.00;4266.00;3349.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:52 UTC;2914.00;0.00;2914.00;2395.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:28 UTC;3170.00;0.00;3169.00;2531.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:29 UTC;3841.00;0.00;3838.00;3017.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:30 UTC;3982.00;0.00;3980.00;3303.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:31 UTC;3979.00;0.00;3978.00;3235.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:32 UTC;4177.00;0.00;4173.00;3266.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:33 UTC;3901.00;0.00;3898.00;3073.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:34 UTC;2648.00;0.00;2646.00;2156.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:35 UTC;3439.00;0.00;3436.00;2795.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:36 UTC;3692.00;0.00;3690.00;2889.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:37 UTC;3504.00;0.00;3502.00;2737.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:53 UTC;4422.00;0.00;4420.00;3669.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:38 UTC;3791.00;0.00;3788.00;3168.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:54 UTC;2634.00;0.00;2631.00;1918.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:55 UTC;2161.00;0.00;2161.00;2072.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:56 UTC;1728.00;0.00;1725.00;1292.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:57 UTC;1542.00;0.00;1537.00;1026.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:58 UTC;1321.00;0.00;1320.00;863.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:59 UTC;1612.00;0.00;1611.00;1145.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:00 UTC;1329.00;0.00;1326.00;1159.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:01 UTC;1750.00;0.00;1745.00;1371.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:02 UTC;1419.00;0.00;1418.00;1136.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:03 UTC;1417.00;0.00;1413.00;1130.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:39 UTC;3841.00;0.00;3840.00;3156.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:04 UTC;1514.00;0.00;1509.00;982.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:33:05 UTC;1295.00;0.00;1291.00;1115.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:40 UTC;3067.00;0.00;3063.00;2518.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:41 UTC;3946.00;0.00;3945.00;3185.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:42 UTC;3576.00;0.00;3572.00;2812.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:43 UTC;4178.00;0.00;4174.00;3294.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:44 UTC;3256.00;0.00;3255.00;2593.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:45 UTC;3863.00;0.00;3863.00;3328.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:46 UTC;3690.00;0.00;3686.00;2970.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:47 UTC;4325.00;0.00;4323.00;3391.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:48 UTC;3314.00;0.00;3312.00;2700.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:49 UTC;3084.00;0.00;3081.00;2486.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:50 UTC;3186.00;0.00;3184.00;2593.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:51 UTC;3551.00;0.00;3548.00;2772.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:52 UTC;3052.00;0.00;3051.00;2725.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:53 UTC;1613.00;0.00;1612.00;1532.00;0.00;0.00;0.00;0.00
