# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
node1;1;2021-04-27 06:25:57 UTC;-1;0.02;0.00;0.04;0.08;0.00;0.00;0.00;0.00;0.00;99.85
node1;1;2021-04-27 06:25:58 UTC;-1;0.02;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;99.94
node1;1;2021-04-27 06:25:59 UTC;-1;0.02;0.00;0.02;0.08;0.00;0.00;0.00;0.00;0.00;99.87
node1;1;2021-04-27 06:26:00 UTC;-1;0.02;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.96
node1;1;2021-04-27 06:26:01 UTC;-1;0.17;0.00;0.12;0.08;0.00;0.00;0.00;0.00;0.00;99.62
node1;1;2021-04-27 06:26:02 UTC;-1;0.65;0.00;0.33;0.00;0.00;0.00;0.04;0.00;0.00;98.98
node1;1;2021-04-27 06:26:03 UTC;-1;0.00;0.00;0.02;0.08;0.00;0.00;0.00;0.00;0.00;99.90
node1;1;2021-04-27 06:26:04 UTC;-1;0.04;0.00;0.06;0.08;0.00;0.00;0.00;0.00;0.00;99.81
node1;1;2021-04-27 06:26:05 UTC;-1;0.02;0.00;0.04;0.08;0.00;0.00;0.00;0.00;0.00;99.85
node1;1;2021-04-27 06:26:06 UTC;-1;0.02;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.96
node1;1;2021-04-27 06:26:07 UTC;-1;0.02;0.00;0.04;0.06;0.00;0.00;0.00;0.00;0.00;99.88
node1;1;2021-04-27 06:26:08 UTC;-1;0.00;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.98
node1;1;2021-04-27 06:26:09 UTC;-1;0.04;0.00;0.04;0.06;0.00;0.00;0.00;0.00;0.00;99.85
node1;1;2021-04-27 06:26:10 UTC;-1;0.00;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;99.96
node1;1;2021-04-27 06:26:11 UTC;-1;0.04;0.00;0.04;0.06;0.00;0.00;0.00;0.00;0.00;99.85
node1;1;2021-04-27 06:26:12 UTC;-1;0.00;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;99.96
node1;1;2021-04-27 06:26:13 UTC;-1;0.02;0.00;0.02;0.08;0.00;0.00;0.00;0.00;0.00;99.87
node1;1;2021-04-27 06:26:14 UTC;-1;0.02;0.00;0.04;0.15;0.00;0.00;0.00;0.00;0.00;99.79
node1;1;2021-04-27 06:26:15 UTC;-1;0.02;0.00;0.04;0.08;0.00;0.00;0.00;0.00;0.00;99.85
node1;1;2021-04-27 06:26:16 UTC;-1;0.00;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.98
node1;1;2021-04-27 06:26:17 UTC;-1;0.02;0.00;0.04;0.06;0.00;0.00;0.00;0.00;0.00;99.87
node1;1;2021-04-27 06:26:18 UTC;-1;0.02;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;99.94
node1;1;2021-04-27 06:26:19 UTC;-1;0.00;0.00;0.04;0.08;0.00;0.00;0.00;0.00;0.00;99.88
node1;1;2021-04-27 06:26:20 UTC;-1;0.02;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.96
node1;1;2021-04-27 06:26:21 UTC;-1;0.06;0.00;0.06;0.06;0.00;0.00;0.02;0.00;0.00;99.79
node1;1;2021-04-27 06:26:22 UTC;-1;0.00;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;99.96
node1;1;2021-04-27 06:26:23 UTC;-1;0.02;0.00;0.04;0.08;0.00;0.00;0.00;0.00;0.00;99.85
node1;1;2021-04-27 06:26:24 UTC;-1;0.02;0.00;0.02;0.06;0.00;0.00;0.00;0.00;0.00;99.90
# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
node1;1;2021-04-27 06:26:25 UTC;-1;0.02;0.00;0.04;0.06;0.00;0.00;0.00;0.00;0.00;99.88
node1;1;2021-04-27 06:26:26 UTC;-1;0.02;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;99.94
node1;1;2021-04-27 06:26:27 UTC;-1;0.00;0.00;0.02;0.06;0.00;0.00;0.00;0.00;0.00;99.92
node1;1;2021-04-27 06:26:28 UTC;-1;0.02;0.00;0.02;0.02;0.00;0.00;0.00;0.00;0.00;99.94
node1;1;2021-04-27 06:26:29 UTC;-1;0.06;0.00;0.08;0.46;0.00;0.00;0.00;0.00;0.00;99.40
osd2;1;2021-04-27 06:25:57 UTC;-1;0.15;0.00;0.28;0.93;0.00;0.00;0.03;0.00;0.00;98.62
osd2;1;2021-04-27 06:25:58 UTC;-1;0.10;0.00;0.23;1.20;0.00;0.00;0.03;0.00;0.00;98.45
node1;1;2021-04-27 06:26:30 UTC;-1;0.02;0.00;0.04;0.44;0.00;0.00;0.00;0.00;0.00;99.50
osd2;1;2021-04-27 06:25:59 UTC;-1;0.15;0.00;0.23;0.83;0.00;0.00;0.03;0.00;0.00;98.77
osd2;1;2021-04-27 06:26:00 UTC;-1;0.15;0.00;0.23;1.20;0.00;0.00;0.03;0.00;0.00;98.40
osd2;1;2021-04-27 06:26:01 UTC;-1;0.10;0.00;0.23;1.08;0.00;0.00;0.00;0.00;0.00;98.60
osd2;1;2021-04-27 06:26:02 UTC;-1;0.15;0.00;0.25;0.80;0.00;0.00;0.03;0.00;0.00;98.77
osd2;1;2021-04-27 06:26:03 UTC;-1;0.13;0.00;0.20;0.88;0.00;0.00;0.03;0.00;0.00;98.77
osd2;1;2021-04-27 06:26:04 UTC;-1;0.15;0.00;0.25;0.88;0.00;0.00;0.03;0.00;0.00;98.70
osd2;1;2021-04-27 06:26:05 UTC;-1;0.10;0.00;0.28;1.35;0.00;0.00;0.00;0.00;0.00;98.27
osd2;1;2021-04-27 06:26:06 UTC;-1;0.13;0.00;0.25;0.60;0.00;0.00;0.05;0.00;0.00;98.97
osd2;1;2021-04-27 06:26:07 UTC;-1;0.15;0.00;0.23;0.70;0.00;0.00;0.03;0.00;0.00;98.90
node1;1;2021-04-27 06:26:31 UTC;-1;0.02;0.00;0.04;0.06;0.00;0.00;0.00;0.00;0.00;99.87
node1;1;2021-04-27 06:26:32 UTC;-1;0.02;0.00;0.02;0.02;0.00;0.00;0.00;0.00;0.00;99.94
