# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
node1;1;2021-04-27 06:25:57 UTC;eth0;23.00;21.00;12.01;14.44;0.00;0.00;0.00
node1;1;2021-04-27 06:25:57 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:25:57 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:25:57 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:25:57 UTC;lo;6.00;6.00;5.54;5.54;0.00;0.00;0.00
node1;1;2021-04-27 06:25:57 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:25:58 UTC;eth0;102.00;98.00;21.84;33.50;0.00;0.00;0.00
node1;1;2021-04-27 06:25:58 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:25:58 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:25:58 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:25:58 UTC;lo;5.00;5.00;12.82;12.82;0.00;0.00;0.00
node1;1;2021-04-27 06:25:58 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:25:59 UTC;eth0;68.00;39.00;59.48;22.01;0.00;0.00;0.00
node1;1;2021-04-27 06:25:59 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:25:59 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:25:59 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:25:59 UTC;lo;6.00;6.00;4.27;4.27;0.00;0.00;0.00
node1;1;2021-04-27 06:25:59 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:00 UTC;eth0;45.00;16.00;44.23;5.48;0.00;0.00;0.00
node1;1;2021-04-27 06:26:00 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:00 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:00 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:00 UTC;lo;4.00;4.00;14.05;14.05;0.00;0.00;0.00
node1;1;2021-04-27 06:26:00 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:01 UTC;eth0;21.00;20.00;10.03;14.37;0.00;0.00;0.00
node1;1;2021-04-27 06:26:01 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:01 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:01 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:01 UTC;lo;9.00;9.00;6.65;6.65;0.00;0.00;0.00
node1;1;2021-04-27 06:26:01 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:02 UTC;eth0;7.00;6.00;2.76;4.29;0.00;0.00;0.00
node1;1;2021-04-27 06:26:02 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:02 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:02 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:02 UTC;lo;10.00;10.00;14.69;14.69;0.00;0.00;0.00
node1;1;2021-04-27 06:26:02 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:03 UTC;eth0;301.00;327.00;195.92;96.83;0.00;0.00;0.00
node1;1;2021-04-27 06:26:03 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:03 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:03 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:03 UTC;lo;10.00;10.00;5.59;5.59;0.00;0.00;0.00
node1;1;2021-04-27 06:26:03 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:04 UTC;eth0;78.00;45.00;62.54;11.30;0.00;0.00;0.00
node1;1;2021-04-27 06:26:04 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:04 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:04 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:04 UTC;lo;6.00;6.00;12.59;12.59;0.00;0.00;0.00
node1;1;2021-04-27 06:26:04 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:05 UTC;eth0;89.00;28.00;100.07;14.93;0.00;0.00;0.00
node1;1;2021-04-27 06:26:05 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:05 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:05 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:05 UTC;lo;6.00;6.00;6.09;6.09;0.00;0.00;0.00
node1;1;2021-04-27 06:26:05 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 06:26:06 UTC;eth0;8.00;5.00;1.09;4.23;0.00;0.00;0.00
# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
osd1;1;2021-04-27 06:25:57 UTC;eth0;14.00;8.00;9.10;1.34;0.00;0.00;0.00
osd1;1;2021-04-27 06:25:57 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:25:57 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:25:57 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:25:57 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
