# hostname;interval;timestamp;irec/s;fwddgm/s;idel/s;orq/s;asmrq/s;asmok/s;fragok/s;fragcrt/s
osd1;1;2021-04-27 06:25:57 UTC;3086.00;0.00;3086.00;2292.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:25:58 UTC;3354.00;0.00;3354.00;2539.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:25:59 UTC;4046.00;0.00;4046.00;2927.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:00 UTC;3366.00;0.00;3366.00;2550.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:01 UTC;3349.00;0.00;3349.00;2721.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:02 UTC;3797.00;0.00;3797.00;2936.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:03 UTC;3175.00;0.00;3175.00;2507.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:04 UTC;4227.00;0.00;4227.00;3275.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:05 UTC;3368.00;0.00;3367.00;2661.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:06 UTC;3954.00;0.00;3954.00;3131.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:07 UTC;4117.00;0.00;4117.00;3248.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:08 UTC;3318.00;0.00;3316.00;2632.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:09 UTC;3522.00;0.00;3522.00;2791.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:10 UTC;3437.00;0.00;3437.00;2742.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:11 UTC;3140.00;0.00;3140.00;2341.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:12 UTC;3111.00;0.00;3111.00;2519.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:13 UTC;3174.00;0.00;3174.00;2316.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:14 UTC;4136.00;0.00;4136.00;3130.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:15 UTC;3061.00;0.00;3061.00;2329.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:16 UTC;4029.00;0.00;4028.00;3103.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:17 UTC;3157.00;0.00;3157.00;2499.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:18 UTC;4109.00;0.00;4109.00;3220.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:19 UTC;4288.00;0.00;4288.00;3379.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:20 UTC;3323.00;0.00;3323.00;2549.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 06:26:21 UTC;3684.00;0.00;3684.00;3127.00;0.00;0.00;0.00;0.00
