# hostname;interval;timestamp;irec/s;fwddgm/s;idel/s;orq/s;asmrq/s;asmok/s;fragok/s;fragcrt/s
osd1;1;2021-04-26 12:53:42 UTC;2291.00;0.00;2291.00;1864.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:53:43 UTC;16.00;0.00;16.00;17.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:53:44 UTC;905.00;0.00;905.00;722.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:53:45 UTC;717.00;0.00;717.00;551.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:53:46 UTC;697.00;0.00;697.00;557.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:53:47 UTC;357.00;0.00;357.00;233.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:53:48 UTC;748.00;0.00;748.00;566.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:53:49 UTC;1094.00;0.00;1094.00;795.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:53:50 UTC;375.00;0.00;375.00;242.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:53:51 UTC;509.00;0.00;509.00;426.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:53:52 UTC;354.00;0.00;354.00;265.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:53:53 UTC;1461.00;0.00;1461.00;1180.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:53:54 UTC;584.00;0.00;584.00;454.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:53:55 UTC;439.00;0.00;439.00;354.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:53:56 UTC;860.00;0.00;860.00;658.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:53:57 UTC;560.00;0.00;560.00;455.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:53:58 UTC;437.00;0.00;437.00;296.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:53:59 UTC;502.00;0.00;502.00;341.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:00 UTC;483.00;0.00;483.00;373.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:01 UTC;824.00;0.00;824.00;536.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:02 UTC;690.00;0.00;690.00;547.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:03 UTC;258.00;0.00;258.00;217.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:04 UTC;1199.00;0.00;1199.00;975.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:05 UTC;111.00;0.00;111.00;103.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:06 UTC;1383.00;0.00;1383.00;1081.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:07 UTC;459.00;0.00;459.00;350.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:08 UTC;436.00;0.00;436.00;364.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:09 UTC;1068.00;0.00;1068.00;819.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:10 UTC;9.00;0.00;9.00;12.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:11 UTC;1382.00;0.00;1382.00;1057.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:12 UTC;551.00;0.00;551.00;442.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:13 UTC;569.00;0.00;569.00;479.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:14 UTC;316.00;0.00;316.00;200.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:15 UTC;915.00;0.00;915.00;752.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:16 UTC;485.00;0.00;485.00;379.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:17 UTC;380.00;0.00;380.00;311.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:18 UTC;687.00;0.00;687.00;528.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:19 UTC;806.00;0.00;806.00;672.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:20 UTC;475.00;0.00;475.00;412.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:21 UTC;510.00;0.00;510.00;422.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:22 UTC;517.00;0.00;517.00;434.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:23 UTC;1197.00;0.00;1197.00;878.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:24 UTC;3.00;0.00;3.00;3.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:25 UTC;1170.00;0.00;1170.00;919.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:26 UTC;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:27 UTC;1535.00;0.00;1535.00;1069.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:28 UTC;418.00;0.00;418.00;354.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:29 UTC;476.00;0.00;476.00;238.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:30 UTC;1114.00;0.00;1114.00;844.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:31 UTC;671.00;0.00;671.00;559.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 12:54:32 UTC;593.00;0.00;592.00;441.00;0.00;0.00;0.00;0.00
# hostname;interval;timestamp;irec/s;fwddgm/s;idel/s;orq/s;asmrq/s;asmok/s;fragok/s;fragcrt/s
node1;1;2021-04-26 12:53:42 UTC;60.00;0.00;60.00;57.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 12:53:43 UTC;21.00;0.00;21.00;25.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 12:53:44 UTC;10.00;0.00;10.00;9.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 12:53:45 UTC;36.00;0.00;36.00;40.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 12:53:46 UTC;11.00;0.00;11.00;12.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 12:53:47 UTC;27.00;0.00;27.00;30.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 12:53:48 UTC;6.00;0.00;6.00;6.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 12:53:49 UTC;25.00;0.00;25.00;29.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 12:53:50 UTC;14.00;0.00;14.00;14.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 12:53:51 UTC;29.00;0.00;29.00;33.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 12:53:52 UTC;20.00;0.00;20.00;22.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 12:53:53 UTC;33.00;0.00;33.00;37.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 12:53:54 UTC;8.00;0.00;8.00;9.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 12:53:55 UTC;32.00;0.00;32.00;35.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 12:53:56 UTC;7.00;0.00;7.00;7.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 12:53:57 UTC;22.00;0.00;22.00;27.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 12:53:58 UTC;7.00;0.00;7.00;8.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 12:53:59 UTC;22.00;0.00;22.00;26.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 12:54:00 UTC;9.00;0.00;9.00;7.00;0.00;0.00;0.00;0.00
