# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
osd2;1;2021-04-26 21:50:33 UTC;-1;0.15;0.00;0.33;1.65;0.00;0.00;0.05;0.00;0.00;97.82
osd2;1;2021-04-26 21:50:34 UTC;-1;0.13;0.00;0.23;2.10;0.00;0.00;0.03;0.00;0.00;97.52
osd2;1;2021-04-26 21:50:35 UTC;-1;0.15;0.00;0.23;2.03;0.00;0.00;0.03;0.00;0.00;97.57
osd2;1;2021-04-26 21:50:36 UTC;-1;0.13;0.00;0.25;3.10;0.00;0.00;0.03;0.00;0.00;96.50
osd2;1;2021-04-26 21:50:37 UTC;-1;0.15;0.00;0.20;2.23;0.00;0.00;0.03;0.00;0.00;97.40
osd2;1;2021-04-26 21:50:38 UTC;-1;0.18;0.00;0.28;1.98;0.00;0.00;0.03;0.00;0.00;97.55
osd2;1;2021-04-26 21:50:39 UTC;-1;0.13;0.00;0.18;2.00;0.00;0.00;0.05;0.00;0.00;97.65
osd2;1;2021-04-26 21:50:40 UTC;-1;0.15;0.00;0.23;2.68;0.00;0.00;0.03;0.00;0.00;96.92
osd2;1;2021-04-26 21:50:41 UTC;-1;0.15;0.00;0.23;2.03;0.00;0.00;0.03;0.00;0.00;97.57
osd2;1;2021-04-26 21:50:42 UTC;-1;0.13;0.00;0.20;1.90;0.00;0.00;0.03;0.00;0.00;97.75
osd2;1;2021-04-26 21:50:43 UTC;-1;0.13;0.00;0.18;1.68;0.00;0.00;0.00;0.00;0.00;98.02
osd2;1;2021-04-26 21:50:44 UTC;-1;0.15;0.00;0.25;2.18;0.00;0.00;0.05;0.00;0.00;97.37
osd2;1;2021-04-26 21:50:45 UTC;-1;0.10;0.00;0.20;1.60;0.00;0.00;0.00;0.00;0.00;98.10
osd2;1;2021-04-26 21:50:46 UTC;-1;0.15;0.00;0.23;3.15;0.00;0.00;0.05;0.00;0.00;96.42
osd2;1;2021-04-26 21:50:47 UTC;-1;0.15;0.00;0.23;2.83;0.00;0.00;0.03;0.00;0.00;96.77
