# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
node1;1;2021-04-26 21:50:33 UTC;eth0;23.00;25.00;10.75;18.74;0.00;0.00;0.00
node1;1;2021-04-26 21:50:33 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:33 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:33 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:33 UTC;lo;10.00;10.00;2.02;2.02;0.00;0.00;0.00
node1;1;2021-04-26 21:50:33 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:34 UTC;eth0;210.00;172.00;109.86;51.35;0.00;0.00;0.00
node1;1;2021-04-26 21:50:34 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:34 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:34 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:34 UTC;lo;11.00;11.00;17.24;17.24;0.00;0.00;0.00
node1;1;2021-04-26 21:50:34 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:35 UTC;eth0;36.00;35.00;14.65;21.26;0.00;0.00;0.00
node1;1;2021-04-26 21:50:35 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:35 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:35 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:35 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:35 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:36 UTC;eth0;33.00;3.00;42.70;0.21;0.00;0.00;0.00
node1;1;2021-04-26 21:50:36 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:36 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:36 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:36 UTC;lo;12.00;12.00;22.33;22.33;0.00;0.00;0.00
node1;1;2021-04-26 21:50:36 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:37 UTC;eth0;58.42;30.69;58.02;19.52;0.00;0.00;0.00
node1;1;2021-04-26 21:50:37 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:37 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:37 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:37 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:37 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:38 UTC;eth0;5.00;0.00;0.59;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:38 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:38 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:38 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
node1;1;2021-04-26 21:50:38 UTC;lo;12.00;12.00;17.32;17.32;0.00;0.00;0.00
node1;1;2021-04-26 21:50:38 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:39 UTC;eth0;33.00;31.00;12.21;20.17;0.00;0.00;0.00
