# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
node1;1;2021-04-26 09:58:43 UTC;-1;0.04;0.00;0.02;0.15;0.00;0.00;0.00;0.00;0.00;99.79
node1;1;2021-04-26 09:58:44 UTC;-1;0.02;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.96
node1;1;2021-04-26 09:58:45 UTC;-1;0.02;0.00;0.04;0.06;0.00;0.00;0.00;0.00;0.00;99.87
node1;1;2021-04-26 09:58:46 UTC;-1;0.00;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.98
node1;1;2021-04-26 09:58:47 UTC;-1;0.02;0.00;0.04;0.08;0.00;0.00;0.00;0.00;0.00;99.85
node1;1;2021-04-26 09:58:48 UTC;-1;0.00;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.98
node1;1;2021-04-26 09:58:49 UTC;-1;0.02;0.00;0.02;0.06;0.00;0.00;0.00;0.00;0.00;99.90
node1;1;2021-04-26 09:58:50 UTC;-1;0.02;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.96
node1;1;2021-04-26 09:58:51 UTC;-1;0.02;0.00;0.04;0.08;0.00;0.00;0.00;0.00;0.00;99.85
node1;1;2021-04-26 09:58:52 UTC;-1;0.04;0.00;0.04;0.06;0.00;0.00;0.00;0.00;0.00;99.85
node1;1;2021-04-26 09:58:53 UTC;-1;0.02;0.00;0.02;0.06;0.00;0.00;0.00;0.00;0.00;99.90
node1;1;2021-04-26 09:58:54 UTC;-1;0.00;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;99.96
node1;1;2021-04-26 09:58:55 UTC;-1;0.02;0.00;0.04;0.06;0.00;0.00;0.00;0.00;0.00;99.88
node1;1;2021-04-26 09:58:56 UTC;-1;0.02;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.96
node1;1;2021-04-26 09:58:57 UTC;-1;0.00;0.00;0.02;0.06;0.00;0.00;0.00;0.00;0.00;99.92
node1;1;2021-04-26 09:58:58 UTC;-1;0.02;0.00;0.04;0.02;0.00;0.00;0.00;0.00;0.00;99.92
node1;1;2021-04-26 09:58:59 UTC;-1;0.02;0.00;0.02;0.06;0.00;0.00;0.00;0.00;0.00;99.90
node1;1;2021-04-26 09:59:00 UTC;-1;0.00;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.98
node1;1;2021-04-26 09:59:01 UTC;-1;0.00;0.00;0.04;0.08;0.00;0.00;0.00;0.00;0.00;99.87
node1;1;2021-04-26 09:59:02 UTC;-1;0.04;0.00;0.02;0.08;0.00;0.00;0.00;0.00;0.00;99.85
node1;1;2021-04-26 09:59:03 UTC;-1;0.02;0.00;0.04;0.06;0.00;0.00;0.00;0.00;0.00;99.88
node1;1;2021-04-26 09:59:04 UTC;-1;0.02;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.96
node1;1;2021-04-26 09:59:05 UTC;-1;0.00;0.00;0.02;0.08;0.00;0.00;0.00;0.00;0.00;99.90
node1;1;2021-04-26 09:59:06 UTC;-1;0.02;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;99.94
node1;1;2021-04-26 09:59:07 UTC;-1;0.02;0.00;0.04;0.06;0.00;0.00;0.00;0.00;0.00;99.87
node1;1;2021-04-26 09:59:08 UTC;-1;0.02;0.00;0.02;0.02;0.00;0.00;0.00;0.00;0.00;99.94
node1;1;2021-04-26 09:59:09 UTC;-1;0.02;0.00;0.04;0.06;0.00;0.00;0.00;0.00;0.00;99.88
node1;1;2021-04-26 09:59:10 UTC;-1;0.02;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.96
node1;1;2021-04-26 09:59:11 UTC;-1;0.02;0.00;0.04;0.06;0.00;0.00;0.00;0.00;0.00;99.88
node1;1;2021-04-26 09:59:12 UTC;-1;0.02;0.00;0.04;0.17;0.00;0.00;0.00;0.00;0.00;99.77
node1;1;2021-04-26 09:59:13 UTC;-1;0.02;0.00;0.04;0.08;0.00;0.00;0.00;0.00;0.00;99.85
node1;1;2021-04-26 09:59:14 UTC;-1;0.02;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.96
node1;1;2021-04-26 09:59:15 UTC;-1;0.02;0.00;0.04;0.08;0.00;0.00;0.00;0.00;0.00;99.85
node1;1;2021-04-26 09:59:16 UTC;-1;0.00;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.98
node1;1;2021-04-26 09:59:17 UTC;-1;0.02;0.00;0.04;0.08;0.00;0.00;0.00;0.00;0.00;99.85
node1;1;2021-04-26 09:59:18 UTC;-1;0.02;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.96
node1;1;2021-04-26 09:59:19 UTC;-1;0.02;0.00;0.02;0.08;0.00;0.00;0.00;0.00;0.00;99.87
node1;1;2021-04-26 09:59:20 UTC;-1;0.02;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;99.94
node1;1;2021-04-26 09:59:21 UTC;-1;0.00;0.00;0.02;0.08;0.00;0.00;0.00;0.00;0.00;99.90
node1;1;2021-04-26 09:59:22 UTC;-1;0.77;0.00;0.42;0.19;0.00;0.00;0.02;0.00;0.00;98.60
node1;1;2021-04-26 09:59:23 UTC;-1;0.04;0.00;0.04;0.17;0.00;0.00;0.00;0.00;0.00;99.75
node1;1;2021-04-26 09:59:24 UTC;-1;0.00;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.98
node1;1;2021-04-26 09:59:25 UTC;-1;0.02;0.00;0.02;0.08;0.00;0.00;0.00;0.00;0.00;99.87
node1;1;2021-04-26 09:59:26 UTC;-1;0.02;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;99.94
node1;1;2021-04-26 09:59:27 UTC;-1;0.02;0.00;0.02;0.06;0.00;0.00;0.00;0.00;0.00;99.90
node1;1;2021-04-26 09:59:28 UTC;-1;0.02;0.00;0.04;0.02;0.00;0.00;0.00;0.00;0.00;99.92
# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
osd2;1;2021-04-26 09:58:43 UTC;-1;0.18;0.00;0.28;1.65;0.00;0.00;0.03;0.00;0.00;97.87
osd2;1;2021-04-26 09:58:44 UTC;-1;0.20;0.00;0.23;1.53;0.00;0.00;0.03;0.00;0.00;98.02
osd2;1;2021-04-26 09:58:45 UTC;-1;0.20;0.00;0.23;0.73;0.00;0.00;0.03;0.00;0.00;98.82
osd2;1;2021-04-26 09:58:46 UTC;-1;0.20;0.00;0.18;1.83;0.00;0.00;0.00;0.00;0.00;97.80
osd2;1;2021-04-26 09:58:47 UTC;-1;0.20;0.00;0.23;1.90;0.00;0.00;0.03;0.00;0.00;97.65
osd2;1;2021-04-26 09:58:48 UTC;-1;0.18;0.00;0.23;1.90;0.00;0.00;0.00;0.00;0.00;97.70
osd2;1;2021-04-26 09:58:49 UTC;-1;0.15;0.00;0.23;1.93;0.00;0.00;0.03;0.00;0.00;97.67
osd2;1;2021-04-26 09:58:50 UTC;-1;0.20;0.00;0.20;0.65;0.00;0.00;0.00;0.00;0.00;98.95
osd2;1;2021-04-26 09:58:51 UTC;-1;0.20;0.00;0.25;1.50;0.00;0.00;0.05;0.00;0.00;98.00
osd2;1;2021-04-26 09:58:52 UTC;-1;0.18;0.00;0.20;1.58;0.00;0.00;0.00;0.00;0.00;98.05
osd2;1;2021-04-26 09:58:53 UTC;-1;0.15;0.00;0.23;2.03;0.00;0.00;0.03;0.00;0.00;97.57
osd2;1;2021-04-26 09:58:54 UTC;-1;0.20;0.00;0.23;1.65;0.00;0.00;0.03;0.00;0.00;97.90
osd2;1;2021-04-26 09:58:55 UTC;-1;0.20;0.00;0.20;2.18;0.00;0.00;0.00;0.00;0.00;97.42
osd2;1;2021-04-26 09:58:56 UTC;-1;0.18;0.00;0.18;1.63;0.00;0.00;0.03;0.00;0.00;98.00
osd2;1;2021-04-26 09:58:57 UTC;-1;0.18;0.00;0.20;2.18;0.00;0.00;0.03;0.00;0.00;97.42
osd2;1;2021-04-26 09:58:58 UTC;-1;0.18;0.00;0.23;1.33;0.00;0.00;0.00;0.00;0.00;98.27
osd2;1;2021-04-26 09:58:59 UTC;-1;0.18;0.00;0.20;1.40;0.00;0.00;0.05;0.00;0.00;98.17
osd2;1;2021-04-26 09:59:00 UTC;-1;0.78;0.00;0.50;1.80;0.00;0.00;0.03;0.00;0.00;96.89
osd2;1;2021-04-26 09:59:01 UTC;-1;0.20;0.00;0.25;2.35;0.00;0.00;0.03;0.00;0.00;97.17
osd2;1;2021-04-26 09:59:02 UTC;-1;0.18;0.00;0.23;2.25;0.00;0.00;0.03;0.00;0.00;97.32
osd2;1;2021-04-26 09:59:03 UTC;-1;0.23;0.00;0.20;1.30;0.00;0.00;0.03;0.00;0.00;98.25
osd2;1;2021-04-26 09:59:04 UTC;-1;0.18;0.00;0.28;1.63;0.00;0.00;0.03;0.00;0.00;97.90
