# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
osd1;1;2021-04-26 09:58:43 UTC;590.00;0.00;590.00;0.00;190403.00
osd1;1;2021-04-26 09:58:44 UTC;527.00;0.00;527.00;0.00;205792.00
osd1;1;2021-04-26 09:58:45 UTC;471.00;0.00;471.00;0.00;190612.00
osd1;1;2021-04-26 09:58:46 UTC;564.00;0.00;564.00;0.00;192384.00
osd1;1;2021-04-26 09:58:47 UTC;588.00;0.00;588.00;0.00;203774.00
osd1;1;2021-04-26 09:58:48 UTC;505.00;0.00;505.00;0.00;193784.00
osd1;1;2021-04-26 09:58:49 UTC;474.00;0.00;474.00;0.00;145142.00
osd1;1;2021-04-26 09:58:50 UTC;473.00;0.00;473.00;0.00;211488.00
osd1;1;2021-04-26 09:58:51 UTC;529.00;0.00;529.00;0.00;202894.00
osd1;1;2021-04-26 09:58:52 UTC;580.00;0.00;580.00;0.00;205788.00
osd1;1;2021-04-26 09:58:53 UTC;487.00;0.00;487.00;0.00;157461.00
osd1;1;2021-04-26 09:58:54 UTC;539.00;0.00;539.00;0.00;203128.00
osd1;1;2021-04-26 09:58:55 UTC;480.00;0.00;480.00;0.00;158519.00
osd1;1;2021-04-26 09:58:56 UTC;546.00;0.00;546.00;0.00;188656.00
osd1;1;2021-04-26 09:58:57 UTC;556.00;0.00;556.00;0.00;205286.00
osd1;1;2021-04-26 09:58:58 UTC;503.00;0.00;503.00;0.00;190024.00
osd1;1;2021-04-26 09:58:59 UTC;524.00;0.00;524.00;0.00;180193.00
osd1;1;2021-04-26 09:59:00 UTC;520.00;0.00;520.00;0.00;201552.00
osd1;1;2021-04-26 09:59:01 UTC;593.00;0.00;593.00;0.00;210183.00
osd1;1;2021-04-26 09:59:02 UTC;539.00;0.00;539.00;0.00;180620.00
osd1;1;2021-04-26 09:59:03 UTC;568.00;0.00;568.00;0.00;210615.00
osd1;1;2021-04-26 09:59:04 UTC;429.00;0.00;429.00;0.00;153755.00
osd1;1;2021-04-26 09:59:05 UTC;541.00;0.00;541.00;0.00;204591.00
osd1;1;2021-04-26 09:59:06 UTC;612.00;0.00;612.00;0.00;206496.00
osd1;1;2021-04-26 09:59:07 UTC;495.00;0.00;495.00;0.00;192551.00
osd1;1;2021-04-26 09:59:08 UTC;515.00;0.00;515.00;0.00;188288.00
osd1;1;2021-04-26 09:59:09 UTC;521.00;0.00;521.00;0.00;180569.00
osd1;1;2021-04-26 09:59:10 UTC;581.00;0.00;581.00;0.00;201552.00
osd1;1;2021-04-26 09:59:11 UTC;578.00;0.00;578.00;0.00;209615.00
osd1;1;2021-04-26 09:59:12 UTC;358.00;0.00;358.00;0.00;144876.00
osd1;1;2021-04-26 09:59:13 UTC;490.00;0.00;490.00;0.00;176495.00
osd1;1;2021-04-26 09:59:14 UTC;546.00;1.00;545.00;16.00;216544.00
osd1;1;2021-04-26 09:59:15 UTC;479.00;0.00;479.00;0.00;182369.00
osd1;1;2021-04-26 09:59:16 UTC;392.00;1.00;391.00;16.00;141136.00
osd1;1;2021-04-26 09:59:17 UTC;578.00;0.00;578.00;0.00;213687.00
