# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
osd1;1;2021-04-26 09:58:43 UTC;eth0;88.00;71.00;65.70;57.57;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:43 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:43 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:43 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:43 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:44 UTC;eth0;67541.00;40536.00;97937.32;56139.25;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:44 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:44 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:44 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:44 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:45 UTC;eth0;68122.00;38900.00;98964.99;53968.21;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:45 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:45 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:45 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:45 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:46 UTC;eth0;65279.00;38923.00;94681.46;53974.92;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:46 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:46 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:46 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:46 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:47 UTC;eth0;74479.00;45828.00;107599.35;63679.82;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:47 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:47 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:47 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:47 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:48 UTC;eth0;65614.00;42633.00;94694.48;59396.02;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:48 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:48 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:48 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:48 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:49 UTC;eth0;70583.00;43531.00;102205.61;60444.12;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:49 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:49 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:49 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:49 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:50 UTC;eth0;58053.00;31449.00;83939.84;43200.41;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:50 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:50 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:50 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:50 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:51 UTC;eth0;76861.00;44307.00;111863.17;61520.23;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:51 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:51 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:51 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:51 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:52 UTC;eth0;65947.00;36094.00;95762.66;49684.30;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:52 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:52 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:52 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:52 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:53 UTC;eth0;75683.00;41563.00;109791.11;57275.03;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:53 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:53 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:53 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:53 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:54 UTC;eth0;60287.00;33664.00;87165.02;46431.19;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:54 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:54 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:54 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:54 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:55 UTC;eth0;66001.00;36002.00;95752.90;49671.27;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:55 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:55 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:55 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:55 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:56 UTC;eth0;56680.00;34324.00;81792.60;47502.90;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:56 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:56 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:56 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:56 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:57 UTC;eth0;74516.00;45811.00;107598.24;63675.57;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:57 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:57 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:57 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:57 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:58 UTC;eth0;72747.00;42020.00;105442.63;58331.78;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:58 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:58 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:58 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:58 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:59 UTC;eth0;62758.00;30679.00;91443.10;42129.73;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:59 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:59 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:59 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:58:59 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:00 UTC;eth0;62781.00;27071.00;91453.19;36751.04;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:00 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:00 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:00 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:00 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:01 UTC;eth0;76812.00;40771.00;111624.95;56153.37;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:01 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:01 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:01 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:01 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:02 UTC;eth0;76288.00;50361.00;110020.89;70147.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:02 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:02 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:02 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:02 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:03 UTC;eth0;65926.00;47765.00;94747.22;66926.43;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:03 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:03 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:03 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:03 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:04 UTC;eth0;75256.00;50925.00;108683.89;71214.15;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:04 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:04 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:04 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
osd2;1;2021-04-26 09:58:43 UTC;eth0;31.00;21.00;8.66;14.53;0.00;0.00;0.00
# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
osd2;1;2021-04-26 09:58:43 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:43 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:44 UTC;eth0;46454.00;17221.00;67805.85;22854.09;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:44 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:44 UTC;lo;3.00;3.00;0.24;0.24;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:45 UTC;eth0;54833.00;34939.00;79616.63;48592.17;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:45 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:45 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:46 UTC;eth0;64093.00;27112.00;93598.93;36760.01;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:46 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:46 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:47 UTC;eth0;72401.00;34989.00;105422.26;47604.76;0.00;0.00;0.00
node1;1;2021-04-26 09:58:43 UTC;eth0;38.00;28.00;12.63;19.85;0.00;0.00;0.00
node1;1;2021-04-26 09:58:43 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:47 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:43 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:47 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:48 UTC;eth0;56745.00;23307.00;82849.75;31372.35;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:48 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:48 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:49 UTC;eth0;83137.00;32459.00;121540.93;43286.32;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:49 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:49 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
