# hostname;interval;timestamp;irec/s;fwddgm/s;idel/s;orq/s;asmrq/s;asmok/s;fragok/s;fragcrt/s
# hostname;interval;timestamp;irec/s;fwddgm/s;idel/s;orq/s;asmrq/s;asmok/s;fragok/s;fragcrt/s
osd2;1;2021-04-26 09:58:43 UTC;4693.00;0.00;4693.00;3540.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:43 UTC;64.00;0.00;64.00;63.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:44 UTC;4692.00;0.00;4692.00;3647.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:44 UTC;8.00;0.00;8.00;8.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:45 UTC;30.00;0.00;30.00;33.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:46 UTC;5.00;0.00;5.00;4.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:47 UTC;31.00;0.00;31.00;34.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:45 UTC;4296.00;0.00;4296.00;3385.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:46 UTC;4321.00;0.00;4321.00;3382.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:48 UTC;5.00;0.00;5.00;5.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:49 UTC;32.00;0.00;31.00;34.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:50 UTC;1.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:51 UTC;32.00;0.00;32.00;36.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:52 UTC;39.00;0.00;38.00;39.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:53 UTC;34.00;0.00;34.00;37.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:54 UTC;2.00;0.00;2.00;2.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:55 UTC;24.00;0.00;23.00;27.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:47 UTC;4170.00;0.00;4170.00;3384.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:56 UTC;5.00;0.00;5.00;4.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:57 UTC;39.00;0.00;38.00;40.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:48 UTC;4621.00;0.00;4621.00;3550.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:58 UTC;9.00;0.00;9.00;9.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:59 UTC;25.00;0.00;25.00;29.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:59:00 UTC;2.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:59:01 UTC;40.00;0.00;40.00;42.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:59:02 UTC;31.00;0.00;30.00;31.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:59:03 UTC;32.00;0.00;32.00;35.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:59:04 UTC;4.00;0.00;3.00;3.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:59:05 UTC;30.00;0.00;30.00;33.00;0.00;0.00;0.00;0.00
