# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
osd1;1;2021-04-26 19:04:18 UTC;-1;0.21;0.00;0.44;0.31;0.00;0.00;0.04;0.00;0.00;99.00
osd1;1;2021-04-26 19:04:19 UTC;-1;0.19;0.00;0.35;0.02;0.00;0.00;0.02;0.00;0.00;99.42
osd1;1;2021-04-26 19:04:20 UTC;-1;0.04;0.00;0.15;0.00;0.00;0.00;0.00;0.00;0.00;99.81
osd1;1;2021-04-26 19:04:21 UTC;-1;0.08;0.00;0.10;0.04;0.00;0.00;0.00;0.00;0.00;99.77
osd1;1;2021-04-26 19:04:22 UTC;-1;0.02;0.00;0.08;0.06;0.00;0.00;0.00;0.00;0.00;99.83
osd1;1;2021-04-26 19:04:23 UTC;-1;0.04;0.00;0.08;0.02;0.00;0.00;0.00;0.00;0.00;99.85
osd1;1;2021-04-26 19:04:24 UTC;-1;0.04;0.00;0.08;0.00;0.00;0.00;0.02;0.00;0.00;99.85
osd1;1;2021-04-26 19:04:25 UTC;-1;0.04;0.00;0.08;0.04;0.00;0.00;0.00;0.00;0.00;99.83
osd1;1;2021-04-26 19:04:26 UTC;-1;0.02;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.00;99.92
osd1;1;2021-04-26 19:04:27 UTC;-1;0.04;0.00;0.08;0.02;0.00;0.00;0.00;0.00;0.00;99.85
osd1;1;2021-04-26 19:04:28 UTC;-1;0.04;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.00;99.90
osd1;1;2021-04-26 19:04:29 UTC;-1;0.06;0.00;0.06;0.04;0.00;0.00;0.00;0.00;0.00;99.83
osd1;1;2021-04-26 19:04:30 UTC;-1;0.02;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;99.87
osd1;1;2021-04-26 19:04:31 UTC;-1;0.06;0.00;0.08;0.02;0.00;0.00;0.00;0.00;0.00;99.83
osd1;1;2021-04-26 19:04:32 UTC;-1;0.02;0.00;0.10;0.02;0.00;0.00;0.02;0.00;0.00;99.83
osd1;1;2021-04-26 19:04:33 UTC;-1;0.04;0.00;0.06;0.02;0.00;0.00;0.00;0.00;0.00;99.87
osd1;1;2021-04-26 19:04:34 UTC;-1;0.02;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;99.87
osd1;1;2021-04-26 19:04:35 UTC;-1;0.04;0.00;0.08;0.04;0.00;0.00;0.00;0.00;0.00;99.83
osd1;1;2021-04-26 19:04:36 UTC;-1;0.02;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.00;99.92
osd1;1;2021-04-26 19:04:37 UTC;-1;0.02;0.00;0.08;0.02;0.00;0.00;0.00;0.00;0.00;99.87
osd1;1;2021-04-26 19:04:38 UTC;-1;0.02;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.00;99.92
osd1;1;2021-04-26 19:04:39 UTC;-1;0.06;0.00;0.08;0.06;0.00;0.00;0.00;0.00;0.00;99.79
osd1;1;2021-04-26 19:04:40 UTC;-1;0.04;0.00;0.10;0.00;0.00;0.00;0.02;0.00;0.00;99.83
osd1;1;2021-04-26 19:04:41 UTC;-1;0.56;0.00;0.35;0.02;0.00;0.00;0.04;0.00;0.00;99.02
osd1;1;2021-04-26 19:04:42 UTC;-1;0.04;0.00;0.13;0.02;0.00;0.00;0.02;0.00;0.00;99.79
osd1;1;2021-04-26 19:04:43 UTC;-1;0.04;0.00;0.06;0.04;0.00;0.00;0.00;0.00;0.00;99.85
osd1;1;2021-04-26 19:04:44 UTC;-1;0.04;0.00;0.08;0.00;0.00;0.00;0.00;0.00;0.00;99.87
osd1;1;2021-04-26 19:04:45 UTC;-1;0.04;0.00;0.08;0.02;0.00;0.00;0.00;0.00;0.00;99.85
osd1;1;2021-04-26 19:04:46 UTC;-1;0.04;0.00;0.08;0.00;0.00;0.00;0.00;0.00;0.00;99.87
# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
osd1;1;2021-04-26 19:04:47 UTC;-1;0.02;0.00;0.08;0.02;0.00;0.00;0.00;0.00;0.00;99.87
osd1;1;2021-04-26 19:04:48 UTC;-1;0.04;0.00;0.06;0.00;0.00;0.00;0.02;0.00;0.00;99.88
osd1;1;2021-04-26 19:04:49 UTC;-1;0.04;0.00;0.06;0.02;0.00;0.00;0.00;0.00;0.00;99.87
osd1;1;2021-04-26 19:04:50 UTC;-1;0.04;0.00;0.08;0.02;0.00;0.00;0.00;0.00;0.00;99.85
node1;1;2021-04-26 19:04:18 UTC;-1;0.06;0.00;0.08;0.85;0.00;0.00;0.00;0.00;0.00;99.00
osd1;1;2021-04-26 19:04:51 UTC;-1;0.04;0.00;0.08;0.02;0.00;0.00;0.00;0.00;0.00;99.85
node1;1;2021-04-26 19:04:19 UTC;-1;0.02;0.00;0.02;0.04;0.00;0.00;0.00;0.00;0.00;99.92
