# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
node1;1;2021-04-27 00:03:41 UTC;eth0;62.00;39.00;54.95;23.90;0.00;0.00;0.00
node1;1;2021-04-27 00:03:41 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:41 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:41 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:41 UTC;lo;11.00;11.00;19.05;19.05;0.00;0.00;0.00
node1;1;2021-04-27 00:03:41 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:42 UTC;eth0;102.00;93.00;23.76;28.20;0.00;0.00;0.00
node1;1;2021-04-27 00:03:42 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:42 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:42 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:42 UTC;lo;6.00;6.00;0.48;0.48;0.00;0.00;0.00
node1;1;2021-04-27 00:03:42 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:43 UTC;eth0;33.00;34.00;12.24;22.19;0.00;0.00;0.00
node1;1;2021-04-27 00:03:43 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:43 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:43 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:43 UTC;lo;12.00;12.00;17.75;17.75;0.00;0.00;0.00
node1;1;2021-04-27 00:03:43 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:44 UTC;eth0;82.00;19.00;98.70;5.46;0.00;0.00;0.00
node1;1;2021-04-27 00:03:44 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:44 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:44 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:44 UTC;lo;4.00;4.00;0.64;0.64;0.00;0.00;0.00
node1;1;2021-04-27 00:03:44 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:45 UTC;eth0;36.00;33.00;14.42;19.53;0.00;0.00;0.00
node1;1;2021-04-27 00:03:45 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:45 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:45 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:45 UTC;lo;13.00;13.00;21.16;21.16;0.00;0.00;0.00
node1;1;2021-04-27 00:03:45 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
