# hostname;interval;timestamp;irec/s;fwddgm/s;idel/s;orq/s;asmrq/s;asmok/s;fragok/s;fragcrt/s
osd1;1;2021-04-27 00:03:41 UTC;2165.00;0.00;2165.00;1553.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:03:42 UTC;109.00;0.00;109.00;113.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:03:43 UTC;398.00;0.00;397.00;290.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:03:44 UTC;535.00;0.00;535.00;470.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:03:45 UTC;859.00;0.00;858.00;711.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:03:46 UTC;413.00;0.00;412.00;372.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:03:47 UTC;1027.00;0.00;1027.00;879.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:03:48 UTC;445.00;0.00;445.00;377.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:03:49 UTC;397.00;0.00;396.00;344.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:03:50 UTC;704.00;0.00;704.00;576.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:03:51 UTC;777.00;0.00;777.00;632.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:03:52 UTC;529.00;0.00;529.00;444.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:03:53 UTC;769.00;0.00;768.00;631.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:03:54 UTC;980.00;0.00;980.00;769.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:03:55 UTC;451.00;0.00;451.00;375.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:03:56 UTC;646.00;0.00;646.00;512.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:03:57 UTC;784.00;0.00;783.00;639.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:03:58 UTC;646.00;0.00;646.00;463.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:03:59 UTC;781.00;0.00;781.00;636.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:04:00 UTC;676.00;0.00;676.00;567.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:04:01 UTC;674.00;0.00;674.00;557.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:04:02 UTC;628.00;0.00;627.00;484.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:04:03 UTC;790.00;0.00;790.00;638.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:04:04 UTC;632.00;0.00;632.00;544.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:04:05 UTC;1143.00;0.00;1143.00;946.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:04:06 UTC;3492.00;0.00;3492.00;2576.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:04:07 UTC;4358.00;0.00;4358.00;3643.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:04:08 UTC;3941.00;0.00;3941.00;3230.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:04:09 UTC;2817.00;0.00;2817.00;2234.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:04:10 UTC;5240.00;0.00;5240.00;4006.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:04:11 UTC;3235.00;0.00;3235.00;2528.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:04:12 UTC;4974.00;0.00;4974.00;3823.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:04:13 UTC;4257.00;0.00;4257.00;3247.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:04:14 UTC;3572.00;0.00;3572.00;2809.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:04:15 UTC;3666.00;0.00;3666.00;3003.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:04:16 UTC;2286.00;0.00;2286.00;1859.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:04:17 UTC;411.00;0.00;411.00;329.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:04:18 UTC;1078.00;0.00;1078.00;869.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:04:19 UTC;578.00;0.00;578.00;462.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:04:20 UTC;923.00;0.00;923.00;732.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:04:21 UTC;619.00;0.00;619.00;488.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-27 00:04:22 UTC;453.00;0.00;453.00;359.00;0.00;0.00;0.00;0.00
