# hostname;interval;timestamp;irec/s;fwddgm/s;idel/s;orq/s;asmrq/s;asmok/s;fragok/s;fragcrt/s
osd1;1;2021-04-26 10:46:59 UTC;4266.00;0.00;4266.00;3353.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:00 UTC;1665.00;0.00;1664.00;1376.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:01 UTC;935.00;0.00;935.00;763.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:02 UTC;462.00;0.00;462.00;376.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:03 UTC;840.00;0.00;839.00;659.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:04 UTC;1081.00;0.00;1081.00;867.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:05 UTC;581.00;0.00;581.00;422.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:06 UTC;559.00;0.00;559.00;440.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:07 UTC;650.00;0.00;650.00;519.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:08 UTC;868.00;0.00;868.00;651.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:09 UTC;496.00;0.00;496.00;371.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:10 UTC;947.00;0.00;947.00;773.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:11 UTC;553.00;0.00;552.00;445.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:12 UTC;799.00;0.00;799.00;580.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:13 UTC;537.00;0.00;537.00;447.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:14 UTC;718.00;0.00;718.00;594.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:15 UTC;625.00;0.00;625.00;531.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:16 UTC;783.00;0.00;783.00;601.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:17 UTC;564.00;0.00;564.00;429.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:18 UTC;593.00;0.00;593.00;466.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:19 UTC;731.00;0.00;731.00;516.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:20 UTC;812.00;0.00;812.00;656.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:21 UTC;585.00;0.00;585.00;515.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:22 UTC;877.00;0.00;877.00;806.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:23 UTC;806.00;0.00;806.00;615.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:24 UTC;557.00;0.00;556.00;437.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:25 UTC;590.00;0.00;590.00;509.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:26 UTC;761.00;0.00;761.00;643.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:27 UTC;581.00;0.00;581.00;498.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:28 UTC;568.00;0.00;568.00;474.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:29 UTC;625.00;0.00;625.00;494.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:30 UTC;539.00;0.00;539.00;447.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:31 UTC;729.00;0.00;729.00;565.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:32 UTC;603.00;0.00;603.00;490.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:33 UTC;677.00;0.00;677.00;534.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:34 UTC;594.00;0.00;594.00;448.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 10:47:35 UTC;750.00;0.00;750.00;614.00;0.00;0.00;0.00;0.00
